Feature,Feature_Type,RNN_20k_VO(acac)2,RNN_20k_VOSO4,RNN_20k_VO(OiPr)3,RNN_20k_All_Catalysts,Trans_20k_VO(acac)2,Trans_20k_VOSO4,Trans_20k_VO(OiPr)3,Trans_20k_All_Catalysts,Trans_6M_VO(acac)2,Trans_6M_VOSO4,Trans_6M_VO(OiPr)3,Trans_6M_All_Catalysts,ESA_VO(acac)2,ESA_VOSO4,ESA_VO(OiPr)3,ESA_All_Catalysts
BalabanJ_Lig,Structural,0.027747366,0.073827773,0.00956422,0.014294196,0.021235302,0.040892368,0.002743847,0.007238891,0.040904801,0.079945295,0.007107969,0.160313993,0.019385821,0.036876661,0.005607348,0.00879556
BertzCT_Lig,Structural,0.003362735,0.012741384,0.002003292,0.001822903,0.005632923,0.0142891,0.010854861,0.0027038,0.00451477,0.176389392,0.004021072,0.003365264,0.006160605,0.006353329,0.001975079,0.004013245
Chi0_Lig,Structural,0.006220247,0.009122573,0.001752922,0.00314792,0.008927001,0.005841452,0.005987607,0.003270709,0.005027213,0.001853229,0.002558467,0.003000378,0.010090221,0.004680252,0.003655146,0.00298664
Chi0n_Lig,Structural,0.008772308,0.005964694,0.001353796,0.010205887,0.01503594,0.006997435,0.004559772,0.00572399,0.007903193,0.003253395,0.00465247,0.003818204,0.009611817,0.015327769,0.002236531,0.003444683
Chi0v_Lig,Structural,0.006939691,0.009258528,0.003244616,0.004125927,0.008665255,0.002636254,0.00360045,0.003367603,0.005844093,0.003938104,0.002617323,0.00379676,0.001278209,0.010209334,0.002968915,0.004682937
Chi1_Lig,Structural,0.008823767,0.015531794,0.0066249,0.003395947,0.009302788,0.203349161,0.001975713,0.004325593,0.007886799,0.003339441,0.008602409,0.004497525,0.004611087,0.005676223,0.002174349,0.003996514
Chi1n_Lig,Structural,0.003314215,0.030838084,0.002024865,0.009142411,0.003807927,0.008295056,0.003705308,0.001688524,0.008462486,0.002407757,0.005269879,0.003690056,0.001073467,0.011447696,0.002565367,0.001890885
Chi1v_Lig,Structural,0.005695609,0.043354809,0.003221003,0.003296438,0.004184147,0.006493298,0.005389536,0.002730835,0.009728135,0.001933706,0.004071214,0.00368032,0.004365997,0.023094256,0.002609022,0.003669974
Chi2n_Lig,Structural,0.004401912,0.016440088,0.003534032,0.005325673,0.005475862,0.002654931,0.003879496,0.004878667,0.007496478,0.001862911,0.01512278,0.005635011,0.006175363,0.011977528,0.003164585,0.009223343
Chi2v_Lig,Structural,0.003145636,0.004410556,0.003656369,0.006876852,0.010203889,0.003496746,0.004106511,0.003157871,0.007309934,0.00477402,0.005600122,0.004435111,0.003350737,0.019673382,0.005465527,0.011110574
Chi3n_Lig,Structural,0.002497953,0.001117636,0.002902235,0.009294896,0.006893526,0.004505243,0.005334341,0.003289193,0.003753937,0.001813586,0.005591586,0.005346999,0.001589252,0.012405377,0.002934507,0.008893628
Chi3v_Lig,Structural,0.004856163,0.001073974,0.009126426,0.010204296,0.021508876,0.003829495,0.00854238,0.006064898,0.00962621,0.003182614,0.005528443,0.003635285,0.002028403,0.006923874,0.002878083,0.005592649
Chi4n_Lig,Structural,0.002313391,0.004339432,0.002882908,0.002699728,0.005723907,0.027310481,0.005282734,0.003165981,0.005174375,0.002243249,0.00548365,0.005278197,0.001958993,0.012112999,0.003152621,0.01082949
Chi4v_Lig,Structural,0.004270716,0.031368855,0.004099293,0.00411573,0.004322221,0.029373511,0.007010581,0.009573297,0.004428967,0.001878932,0.00722104,0.003336769,0.002134404,0.013274384,0.003183279,0.008931874
EState_VSA1_Lig,VSA,0.002689212,0.002740041,0.002479618,0.002546513,0.004088773,0.007985698,0.003166034,0.001957224,0.008063461,0.001396504,0.007063328,0.005667879,0.006280351,0.006576163,0.003764273,0.005250361
EState_VSA10_Lig,VSA,0.003772837,0.04022662,0.002470162,0.002444539,0.006102464,0.011092433,0.01301517,0.004983202,0.005592162,0.004564907,0.005868356,0.003195415,0.050234042,0.008801628,0.035808828,0.021188529
EState_VSA11_Lig,VSA,0.006498584,0.001270449,0.002842263,0.003750071,0.006408151,0.004389684,0.004522763,0.004724531,0.004605206,0.006709754,0.003834248,0.003617619,0.000243481,0,0.00012343,0.000139571
EState_VSA2_Lig,VSA,0.006306273,0.00625516,0.047762937,0.047951022,0.021739123,0.004105826,0.03630168,0.0091747,0.005156443,0.003684955,0.03197797,0.062667752,0.041696838,0.006344066,0.034283748,0.0367383
EState_VSA3_Lig,VSA,0.004612097,0.001319941,0.003736985,0.003176726,0.030184079,0.001320671,0.006622644,0.025549735,0.005265453,0.001520045,0.005009942,0.004980562,0.002281167,0.014219792,0.00568186,0.00470758
EState_VSA4_Lig,VSA,0.008471928,0.00399821,0.008734999,0.016638181,0.005586406,0.001580777,0.009074088,0.003325326,0.006430452,0.008170031,0.007288481,0.004471019,0.004493601,0.004766678,0.019657319,0.009054119
EState_VSA5_Lig,VSA,0.004715325,0.001383016,0.005802161,0.00296296,0.007123729,0.00822191,0.003643225,0.004989608,0.01564409,0.003435081,0.002982372,0.004980416,0.017540016,0.000599049,0.023669563,0.011580184
EState_VSA6_Lig,VSA,0.023117007,0.006892073,0.003346585,0.005437211,0.007597055,0.003497101,0.002618618,0.004028924,0.005068003,0.002201771,0.007501227,0.005203838,0.000148338,0.028764357,0.001526967,0.015264923
EState_VSA7_Lig,VSA,0.00501729,0.033378903,0.003514094,0.003791814,0.010840739,0.000940187,0.00397636,0.002072346,0.005197341,0.001132156,0.004755186,0.004221465,0.070437445,0.014858268,0.043696853,0.056454067
EState_VSA8_Lig,VSA,0.006723179,0.001948389,0.002543056,0.012980801,0.009235265,0.003268991,0.007771099,0.004578467,0.005531825,0.00696659,0.004764787,0.003340764,0.009266497,0.000299544,0.00361616,0.002344985
EState_VSA9_Lig,VSA,0.006706689,0.002712143,0.00240351,0.002604228,0.00809496,0.0043002,0.002173173,0.005543218,0.004832559,0.01562597,0.00401531,0.003880811,0.002220051,2.67E-05,0.000182842,0.00084092
HallKierAlpha_Lig,Structural,0.005198192,0.010293869,0.006369949,0.004608992,0.019626735,0.005360347,0.002264116,0.008198467,0.006967791,0.00246125,0.005414432,0.004018082,0.011468418,0.012554369,0.001818831,0.003280947
HeavyAtomCount_Lig,Structural,0.004162163,0.00360777,0.002862255,0.003085327,0.003390064,0.020234965,0.002666083,0.002262518,0.004602548,0.045687921,0.003270391,0.003292076,0.008693112,0.035444071,0.001702873,0.003419941
HeavyAtomMolWt_Lig,Structural,0.014767518,0.017758259,0.00418678,0.003796009,0.010563791,0.024712815,0.012852387,0.00327739,0.007534318,0.004878961,0.004501649,0.003108615,0.001667037,0.013143593,0.001287327,0.003979017
Kappa1_Lig,Structural,0.00765658,0.02773343,0.004264951,0.002201771,0.009573201,0.013620594,0.004859591,0.003244909,0.004183286,0.020706859,0.006843551,0.00458655,0.008416773,0.005286137,0.003321955,0.010226468
Kappa2_Lig,Structural,0.007780822,0.008513963,0.001121942,0.002859279,0.016598066,0.006627393,0.004548129,0.002491011,0.004438293,0.009930508,0.003979713,0.003558327,0.018630092,0.007899975,0.002815887,0.006473782
Kappa3_Lig,Structural,0.015467771,0.001796854,0.002082504,0.002136936,0.002707517,0.006576569,0.003626758,0.002176143,0.003298655,0.003818734,0.005480254,0.004235561,0.009420729,0.024582968,0.008254587,0.009575764
MaxAbsEStateIndex_Lig,Electronic,0.007055405,0.002703311,0.00212595,0.003360842,0.004515777,0.002907147,0.004489446,0.003546039,0.010419365,0.005411944,0.003133778,0.004324537,0.002452079,0.011803538,0.002481152,0.006050899
MaxAbsPartialCharge_Lig,Electronic,0.031719598,0.000542869,0.003318546,0.005443898,0.014084918,0.004716144,0.002207531,0.002761598,0.01451611,0.009651524,0.0038486,0.009133119,0.011862939,0.021266686,0.028141151,0.015282012
MaxEStateIndex_Lig,Electronic,0.007892737,0.000741244,0.004322729,0.003522118,0.011815257,0.015710743,0.005719108,0.005094005,0.008843688,0.02486335,0.004719674,0.003742605,0.004285146,0.005484312,0.004353739,0.00724127
MaxPartialCharge_Lig,Electronic,0.015536421,0.00075714,0.004693461,0.00409281,0.005986375,0.001854724,0.026876263,0.004959873,0.023026266,0.005634487,0.004519591,0.003814571,0.015775607,0.045099545,0.008367852,0.01117738
MinAbsEStateIndex_Lig,Electronic,0.008157627,0.000762422,0.013028969,0.004995283,0.004492034,0.002477038,0.003308539,0.034340251,0.009566347,0.004943671,0.003050396,0.029690016,0.024307027,0.005994247,0.019495892,0.011715235
MinAbsPartialCharge_Lig,Electronic,0.017078315,0.001131798,0.010588899,0.009764367,0.011220289,0.007367363,0.002929493,0.007017112,0.028980699,0.005338865,0.004289102,0.007089887,0.018308666,0.015098611,0.008492124,0.00950118
MinEStateIndex_Lig,Electronic,0.005662267,0.005597321,0.001119313,0.005176608,0.006642111,0.004448329,0.005482149,0.003761672,0.005121063,0.026586004,0.006714046,0.004431028,0.00565173,0.010166054,0.007477726,0.009550279
MinPartialCharge_Lig,Electronic,0.005447297,0.097655376,0.002698058,0.013532886,0.006813739,0.03824117,0.001945362,0.005174182,0.005836511,0.003872881,0.005471904,0.005783819,0.012140626,0.059852757,0.023571996,0.012898099
MolLogP_Lig,Structural,0.006405905,0.000367701,0.008759434,0.004062459,0.013808941,0.004401707,0.018949339,0.004936523,0.010869227,0.024953249,0.012227904,0.003771051,0.005968887,0.017805237,0.008637695,0.008376234
MolMR_Lig,Electronic,0.122305409,0.001770495,0.003166413,0.00506865,0.005936603,0.007462175,0.003461569,0.002422581,0.005637907,0.019187911,0.007167254,0.0046506,0.005150068,0.007493794,0.001911,0.001764075
MolWt_Lig,Structural,0.007703819,0.039061991,0.005384615,0.003860047,0.012125303,0.004182594,0.00200915,0.004800222,0.009149802,0.013390293,0.00421403,0.006454233,0.007250337,0.008669901,0.002744272,0.003924174
NHOHCount_Lig,Structural,0.013802782,0.005038326,0.001837177,0.003334918,0.010261213,0.001894915,0.004314393,0.004858974,0.019404264,0.002797229,0.00362032,0.003288965,0.042234507,0.000309467,0.000406209,0.000261349
NOCount_Lig,Structural,0.008057535,0.008743469,0.001601197,0.003385019,0.004782947,0.005645253,0.004584052,0.003096657,0.008377771,0.021787563,0.005701183,0.006298077,0.009985021,0.013831627,0.001760834,0.000568539
NumAliphaticCarbocycles_Lig,Structural,0.025346564,0.000478797,0.00163182,0.008507792,0.004998025,0.00362721,0.001385446,0.004960616,0.011974468,0.012766605,0.003190116,0.004934721,0.002574187,0.003059829,0.000724807,0.00063121
NumAliphaticHeterocycles_Lig,Structural,0.003447075,0.000833121,0.163707644,0.005734607,0.008183743,0.002072887,0.059671311,0.008730577,0.003295154,0.001788319,0.005686282,0.003516055,0,0,0.067221871,0.045243597
NumAliphaticRings_Lig,Structural,0.017523379,0.007293616,0.00171468,0.003556706,0.015319836,0.004124064,0.002154161,0.002937173,0.008483255,0.00379293,0.005377852,0.004113904,0.001987003,0.007071198,0.00126985,0.000810405
NumAromaticCarbocycles_Lig,Structural,0.005659083,0.008836729,0.005396677,0.003891978,0.005011018,0.006242122,0.005414555,0.003366922,0.004425631,0.009122666,0.00656049,0.003641388,0.000358613,0.017065387,0.001769052,0.000679426
NumAromaticHeterocycles_Lig,Structural,0.004061347,0.002521854,0.002875774,0.249757151,0.008353767,0.002982438,0.003465361,0.433835003,0.010093936,0.003096688,0.004684233,0.166501415,0.000120369,0.016218773,3.04E-07,0.004374326
NumAromaticRings_Lig,Structural,0.004614015,0.008736604,0.004519956,0.006685873,0.006162323,0.002768817,0.001738707,0.002678598,0.00373661,0.003439222,0.003542138,0.003018464,0.000530158,0.011608586,0.000706922,0.001382455
NumHAcceptors_Lig,Structural,0.002427338,0.029390463,0.002456945,0.003914598,0.020898783,0.0157715,0.002388141,0.006583736,0.004263609,0.038745377,0.004424863,0.006095061,0.00947936,0.017143018,0.000151966,0.013545399
NumHDonors_Lig,Structural,0.011900208,0.003274812,0.002369058,0.002565974,0.036238592,0.012498706,0.005563285,0.007685126,0.007918023,0.002549287,0.003635591,0.003360225,0.040030955,0.000130425,0.000261731,0.00074762
NumHeteroatoms_Lig,Structural,0.006093984,0.002399767,0.002288604,0.007068856,0.023138662,0.010732576,0.009858302,0.007381312,0.005510306,0.004662999,0.003139005,0.003039095,0.000218495,0.0038416,0.000833927,0.001146118
NumRadicalElectrons_Lig,Structural,0.004180966,0.000361065,0.002250859,0.002351482,0.004708647,0.001422627,0.002633704,0.00213354,0.003391328,0.001548225,0.004245113,0.002300081,0,0,0,0
NumRotatableBonds_Lig,Structural,0.009270164,0.026211611,0.010003764,0.004722836,0.010197233,0.020715447,0.002730643,0.002609028,0.006471802,0.008435572,0.003771445,0.018741256,0.010779305,0.008674863,0.002957403,0.007100562
NumSaturatedCarbocycles_Lig,Structural,0.005156445,0.001606461,0.006634927,0.004459969,0.00649028,0.001879455,0.001308599,0.003035681,0.005587634,0.000987385,0.00523791,0.003818068,0.000231941,0.0008127,0.00053294,0.000961094
NumSaturatedHeterocycles_Lig,Structural,0.009347631,0.000962093,0.00091349,0.001997085,0.007486612,0.003132772,0.003141271,0.0078955,0.003518109,0.001634135,0.004996227,0.0027219,0,0,0.000266459,0.002533043
NumSaturatedRings_Lig,Structural,0.004232204,0.012595988,0.007467954,0.007985203,0.008480111,0.003144072,0.004903388,0.003863958,0.004132236,0.00638132,0.004976382,0.00335878,2.56E-05,0.00035603,0.000966466,0.002867813
NumValenceElectrons_Lig,Structural,0.013812318,0.001078115,0.001305464,0.003873002,0.012833127,0.000908645,0.01260557,0.004299818,0.006243075,0.010166042,0.00475426,0.003900301,0.004739341,0.018532076,0.001571701,0.002755095
PEOE_VSA1_Lig,VSA,0.003736428,0.002651767,0.000926296,0.00208288,0.013852584,0.005637388,0.002952609,0.014073186,0.005881225,0.005194127,0.003347256,0.003797605,0.00178091,0.008605428,0.000363125,0.000557325
PEOE_VSA10_Lig,VSA,0.006362134,0.000610902,0.006064698,0.004418876,0.006527407,0.002327777,0.002476062,0.004227267,0.006469081,0.004210525,0.005772154,0.003961254,0.001056455,0.004877162,0.000681162,0.002189856
PEOE_VSA11_Lig,VSA,0.004687076,0.000727901,0.001074538,0.002754994,0.012334604,0.002491812,0.001906579,0.004665883,0.01062019,0.007821654,0.006054352,0.004252696,0.000473257,9.59E-06,0.00016367,0.000687381
PEOE_VSA12_Lig,VSA,0.003676254,0.002487703,0.003886931,0.002721935,0.005479005,0.00725733,0.002194276,0.003591503,0.005344695,0.002899589,0.018313286,0.00475793,0.000195222,0.001977757,0.001514902,0.003387021
PEOE_VSA13_Lig,VSA,0.01962276,0.007312203,0.010081805,0.009091006,0.011600767,0.017111498,0.021905518,0.007046702,0.014325512,0.001059508,0.019098178,0.015994692,0.003882452,0.009251305,0.005611352,0.005513098
PEOE_VSA14_Lig,VSA,0.002987824,0.007485011,0.005324566,0.005973436,0.010613751,0.000978155,0.001927406,0.005063566,0.007122132,0.006102351,0.00456403,0.005501319,8.28E-07,0.015894839,0.000205116,5.58E-05
PEOE_VSA2_Lig,VSA,0.009608496,0.003984641,0.133052853,0.007965867,0.003492265,0.013657717,0.106174009,0.004399005,0.003731059,0.001927165,0.006683556,0.0043424,0.000682981,0.009215502,0.077352387,0.043255843
PEOE_VSA3_Lig,VSA,0.003086188,0.006046695,0.005356374,0.004576117,0.010162752,0.002859929,0.005957031,0.00874144,0.00650229,0.002763389,0.004589016,0.019367398,0.004573655,0.004258255,0.000138132,0.001925954
PEOE_VSA4_Lig,VSA,0.010592222,0.005941073,0.001229022,0.003224389,0.004382953,0.003931434,0.002552295,0.004339245,0.008343075,0.022359515,0.002775086,0.005500088,0.000222254,0.004536982,0.000462577,0.000905068
PEOE_VSA5_Lig,VSA,0.003638792,0.001406133,0.002702961,0.002095707,0.005337098,0.000877665,0.006135966,0.003493423,0.007085958,0.002117502,0.004726361,0.002785485,1.77E-05,8.17E-06,0.000146176,4.10E-05
PEOE_VSA6_Lig,VSA,0.005157944,0.012583409,0.037893874,0.105207193,0.012868259,0.000946663,0.034493843,0.005609542,0.004704565,0.007209607,0.009999634,0.004589964,0.004151844,0.005486565,0.008493335,0.010995785
PEOE_VSA7_Lig,VSA,0.023977751,0.005789794,0.018965077,0.008038884,0.007541681,0.001204141,0.006082,0.003372,0.005825452,0.002100373,0.004285508,0.005089946,0.010592007,0.022548229,0.010133094,0.012576106
PEOE_VSA8_Lig,VSA,0.006853961,0.001076572,0.043064638,0.00398717,0.015113252,0.002293316,0.003437771,0.011276117,0.008684184,0.007376333,0.035897434,0.003699447,0.023183485,0.004598941,0.006296286,0.016685316
PEOE_VSA9_Lig,VSA,0.003957517,0.000578975,0.011745001,0.016545901,0.003054305,0.000913433,0.032668472,0.009319847,0.004304066,0.001987183,0.036235182,0.005828068,0.008409127,0.005601542,0.003691229,0.014290805
SMR_VSA1_Lig,VSA,0.005824337,0.00291545,0.010777023,0.004999052,0.012483784,0.018333724,0.015139406,0.005366049,0.007283062,0.004801985,0.005000039,0.00887344,0.013389932,0.006840449,0.000953082,0.0023563
SMR_VSA10_Lig,VSA,0.008833078,0.001128924,0.067947242,0.006378871,0.004882928,0.01456114,0.07063658,0.005801087,0.006175887,0.001918384,0.33663416,0.007543971,0.006696137,0.007882806,0.138361307,0.105570558
SMR_VSA2_Lig,VSA,0.003095455,0.001977154,0.002340367,0.002424595,0.006219963,0.004795158,0.003040724,0.004862787,0.004870906,0.002557748,0.003724161,0.003983275,0,0,0,0
SMR_VSA3_Lig,VSA,0.012103189,0.002117271,0.00137883,0.006927598,0.004740975,0.003383371,0.001785852,0.003916322,0.003897139,0.018870148,0.005366237,0.009405297,0.000377263,0.002367789,0.000333674,0.001680541
SMR_VSA4_Lig,VSA,0.006033903,0.000562584,0.004510809,0.007863592,0.009717908,0.001598023,0.0056165,0.004036734,0.011055324,0.001783602,0.003888869,0.005440779,0.00024877,0.000170338,0.004484227,0.004656313
SMR_VSA5_Lig,VSA,0.057131735,0.00534751,0.009529567,0.006595963,0.011518553,0.002301295,0.011830697,0.00373489,0.044440707,0.004602273,0.00596831,0.006095985,0.005391787,0.004741351,0.004387153,0.010075407
SMR_VSA6_Lig,VSA,0.007202914,0.001325411,0.001048208,0.002751949,0.00494503,0.012996859,0.002523774,0.003628463,0.005453957,0.001965347,0.006381785,0.003241442,0.00313269,3.58E-05,0.000160349,0.00033978
SMR_VSA7_Lig,VSA,0.004489061,0.012054811,0.001643958,0.002812429,0.007857636,0.002583394,0.001724349,0.004383437,0.006896385,0.014781786,0.00438549,0.003810151,0.004747696,0.002949733,0.00362711,0.00453695
SMR_VSA8_Lig,VSA,0.006710688,0.019973559,0.001713658,0.002713605,0.005214219,0.002056077,0.006909927,0.003346577,0.003463707,0.007192163,0.004274224,0.002766373,0,0,0,0
SMR_VSA9_Lig,VSA,0.007135736,0.009200111,0.001479076,0.003230409,0.007871164,0.021053085,0.003059899,0.002868399,0.005340586,0.008434841,0.00370776,0.00975867,0.002272867,0.007403642,0.001129966,0.002831832
SlogP_VSA1_Lig,VSA,0.004869942,0.000516213,0.002171469,0.008523497,0.006207007,0.006133917,0.006139988,0.004721041,0.004165614,0.004338112,0.004476633,0.004772525,0.000726734,0.002208582,0.000371048,0.000907617
SlogP_VSA10_Lig,VSA,0.003253466,0.005508171,0.001439909,0.002967675,0.007452647,0.001621923,0.002708792,0.003328923,0.004568601,0.002235725,0.003923957,0.002765857,0,0,0,0
SlogP_VSA11_Lig,VSA,0.00488191,0.003190179,0.00200018,0.006403075,0.007318726,0.003440854,0.001505741,0.005391007,0.006267161,0.002485286,0.003680079,0.003524567,0.000345836,0.009838674,4.98E-06,0.000823705
SlogP_VSA12_Lig,VSA,0.003582442,0.017691199,0.001891187,0.002996045,0.005918252,0.006647856,0.001450135,0.003908247,0.007041544,0.012313659,0.003161451,0.003838244,0.000191873,1.58E-06,0,1.38E-05
SlogP_VSA2_Lig,VSA,0.002774123,0.021712728,0.036886434,0.007648282,0.025555177,0.004453901,0.057063317,0.008782109,0.004640836,0.00154857,0.009357029,0.01588869,0.091715185,0.025434972,0.036458509,0.092638082
SlogP_VSA3_Lig,VSA,0.004663772,0.021764972,0.006487891,0.006284329,0.005570816,0.01315379,0.011666335,0.003936979,0.007203033,0.013316842,0.00757372,0.024398691,0.007542683,0.006851751,0.0135654,0.012547347
SlogP_VSA4_Lig,VSA,0.02296206,0.003717187,0.001830612,0.048378988,0.019534599,0.005365886,0.008609912,0.008483311,0.066085515,0.004422281,0.003977041,0.016890064,0.004566171,3.71E-05,0.003772811,0.006881368
SlogP_VSA5_Lig,VSA,0.00626351,0.002375909,0.005196292,0.010850322,0.004619388,0.001842474,0.003396139,0.004723822,0.004941147,0.003847271,0.00378068,0.006797087,0.004709013,0.015086865,0.003449414,0.005213751
SlogP_VSA6_Lig,VSA,0.004968383,0.015518052,0.006835962,0.009526343,0.010107183,0.002579456,0.003238465,0.005874805,0.006269262,0.007506121,0.00583593,0.026664872,0.00281962,0.008443539,0.002657179,0.002322044
SlogP_VSA7_Lig,VSA,0.002792938,0.0006286,0.002510153,0.002096199,0.004463476,0.002314376,0.003812118,0.004096164,0.005535746,0.008013026,0.004513325,0.003350618,5.12E-05,0,0,1.96E-05
SlogP_VSA8_Lig,VSA,0.007335862,0.003411136,0.002531602,0.003393131,0.008185781,0.00533375,0.002806255,0.00336873,0.012981426,0.004978409,0.003983354,0.003564915,0.001206726,1.34E-05,0.001476424,0.001456854
SlogP_VSA9_Lig,VSA,0.003540589,0.003192299,0.002032422,0.002011128,0.008646053,0.000658329,0.002911927,0.003383273,0.006474728,0.002732456,0.003501354,0.003593255,0,0,0,0
TPSA_Lig,VSA,0.00334756,0.012283588,0.001547217,0.002688656,0.006869701,0.004304991,0.003496875,0.004160354,0.003535943,0.00581921,0.003948442,0.005764732,0.040158663,0.018424169,0.001579967,0.001843102
VSA_EState1_Lig,VSA,0.002710989,0.000601969,0.001367044,0.002282896,0.004051423,0.001480163,0.002066234,0.002439371,0.006028216,0.010362809,0.006425308,0.003932605,0.003827104,0.013071164,0.001116488,0.001036348
VSA_EState10_Lig,VSA,0.00465985,0.000903588,0.002478553,0.001996318,0.008802291,0.006262148,0.001622102,0.004847889,0.00514449,0.001889676,0.004188376,0.004405696,0.000424765,2.73E-07,0,3.55E-06
VSA_EState2_Lig,VSA,0.00433988,0.001376374,0.047616824,0.004145608,0.005302491,0.002089285,0.092135817,0.003227752,0.015627903,0.00327189,0.007073684,0.008299816,0.014342563,0.008201099,0.149964448,0.062202454
VSA_EState3_Lig,VSA,0.007266098,0.007950696,0.019328025,0.007251831,0.006076687,0.028472686,0.008561512,0.00710364,0.00840257,0.003200433,0.005321653,0.009169345,0.055551779,0.013098503,0.005714308,0.034300613
VSA_EState4_Lig,VSA,0.004072155,0.002130024,0.008215942,0.004985484,0.014287231,0.00528048,0.004382354,0.021789719,0.008702312,0.003809717,0.011975522,0.005886268,0.014246405,0.007449148,0.035057191,0.015078209
VSA_EState5_Lig,VSA,0.006111505,0.001275782,0.00218983,0.003252802,0.004842536,0.019701417,0.00375061,0.002612115,0.021777253,0.00267185,0.004539974,0.00691139,0.015994019,0.023252309,0.013339903,0.016626612
VSA_EState6_Lig,VSA,0.02573346,0.003213514,0.00828022,0.021244868,0.011763187,0.016704415,0.004038604,0.006046186,0.009098067,0.034619101,0.006359633,0.005726916,0.008265423,0.00738047,0.003235262,0.005928211
VSA_EState7_Lig,VSA,0.005138469,0.002864172,0.006853045,0.003763297,0.008161969,0.002407402,0.007559339,0.003514322,0.010090259,0.006402603,0.006543016,0.004831431,0.057648489,0.00274107,0.02175328,0.014241916
VSA_EState8_Lig,VSA,0.025209296,0.0014218,0.002194198,0.003881656,0.012890615,0.002983113,0.010234278,0.006171944,0.093350947,0.002240623,0.005667822,0.006409141,0.004525603,0.002492368,0.004532097,0.007790333
VSA_EState9_Lig,VSA,0.003093289,0.048792454,0.003679612,0.010450949,0.004193973,0.029483674,0.001797715,0.00440098,0.00497881,0.006693865,0.003620636,0.00383576,0.002260427,0.005120126,0.000401181,0.001340158